pregunta,dificultad,opcion1,opcion2,opcion3,opcion4,respuesta_correcta
¿Qué lengua se habla en Brasil?,media,Español,Portugués,Francés,Italiano,Portugués
¿Cuántos huesos tiene el cuerpo humano?,media,106,206,250,300,206
¿Qué guerra terminó en 1945?,media,Primera Guerra Mundial,Segunda Guerra Mundial,Guerra Fría,Guerra Civil Española,Segunda Guerra Mundial
¿Quién escribió “Romeo y Julieta”?,media,Cervantes,Shakespeare,Hugo,Dante,Shakespeare
¿Cuál es el elemento más abundante del universo?,dificil,Oxígeno,Carbono,Helio,Hidrógeno,Hidrógeno
¿Quién desarrolló la teoría heliocéntrica?,dificil,Newton,Kepler,Copérnico,Galileo,Copérnico
¿Cuál es el país con más islas del mundo?,dificil,Japón,Indonesia,Noruega,Suecia,Suecia
¿En qué año cayó el Imperio Romano de Occidente?,dificil,395,410,476,520,476
¿Quién escribió “La Odisea”?,dificil,Homero,Virgilio,Ovidio,Sócrates,Homero
¿Qué partícula tiene carga negativa?,dificil,Protón,Electrón,Neutrón,Photon,Electrón
¿Dónde se originó la civilización sumeria?,dificil,Egipto,Mesopotamia,China,India,Mesopotamia
¿Cuál es la capital de Mongolia?,dificil,Ulan Bator,Astana,Tashkent,Bishkek,Ulan Bator
¿Cuál es el idioma oficial de Irán?,dificil,Árabe,Turco,Persa,Pastún,Persa
¿Quién propuso las leyes del movimiento planetario?,dificil,Galileo,Kepler,Newton,Descartes,Kepler
¿Cuál es el segundo planeta más pequeño?,dificil,Marte,Venus,Mercurio,Plutón,Marte
¿Qué elemento químico es “W”?,dificil,Wolfram,Plata,Magnesio,Tungsteno,Tungsteno
¿En qué año empezó la Primera Guerra Mundial?,dificil,1905,1914,1918,1920,1914
¿Cuál es la estrella más cercana después del Sol?,dificil,Betelgeuse,Alfa Centauri,Sirio,Vega,Alfa Centauri
¿Quién compuso “El Clave Bien Temperado”?,dificil,Bach,Beethoven,Mozart,Chopin,Bach
¿Dónde se encuentra el río Danubio?,dificil,Asia,África,Europa,Oceanía,Europa
¿Cuál es la capital de Yemen?,dificil,Sanaá,Aden,Riad,Muscat,Sanaá
¿Quién formuló las leyes de Mendel?,dificil,Darwin,Mendel,Lamarck,Pasteur,Mendel
¿Cuál es la galaxia más cercana a la Vía Láctea?,dificil,Andrómeda,Triángulo,Sombrero,Omega,Andrómeda
¿Cuál es la unidad básica de la vida?,dificil,Átomo,Célula,Molécula,Tejido,Célula
¿Dónde se originó el budismo?,dificil,China,India,Corea,Japón,India
¿Cuál es el desierto más frío?,dificil,Gobi,Patagonia,Antártida,Arabia,Antártida
¿Cuál es el metal más caro?,dificil,Oro,Platino,Paladio,Rodio,Rodio
¿Qué país tiene la mayor cantidad de volcanes activos?,dificil,Chile,Indonesia,Japón,México,Indonesia
¿Quién escribió “Guerra y Paz”?,dificil,Tolstói,Dostoievski,Chejov,Pushkin,Tolstói
¿Qué filósofo escribió “La República”?,dificil,Aristóteles,Platón,Sócrates,Descartes,Platón
¿Cuál es el lago más profundo del mundo?,dificil,Titicaca,Baikal,Superior,Victoria,Baikal
¿En qué año comenzó la Revolución Francesa?,dificil,1776,1789,1810,1750,1789
¿Cuál es el país más joven del mundo?,dificil,Kosovo,Timor Oriental,Sudán del Sur,Eritrea,Sudán del Sur
